metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd01663_medium	Chenodiol	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii']
cpd00526_medium	Cholate	True	['Methanobrevibacter_smithii']	['Clostridium_symbiosium']
cpd00009_medium	Phosphate	False	[]	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00023_medium	L-Glutamate	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00028_medium	Heme	False	['Clostridium_symbiosium']	[]
cpd00030_medium	Mn2+	False	[]	['Clostridium_symbiosium']
cpd00034_medium	Zn2+	False	[]	['Clostridium_symbiosium']
cpd00039_medium	L-Lysine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00041_medium	L-Aspartate	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00048_medium	Sulfate	False	[]	['Clostridium_symbiosium']
cpd00051_medium	L-Arginine	False	[]	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00053_medium	L-Glutamine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii']
cpd00073_medium	Urea	False	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	[]
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00108_medium	Galactose	False	['Clostridium_symbiosium']	['Clostridium_symbiosium']
cpd00119_medium	L-Histidine	False	[]	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00149_medium	Co2+	False	[]	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00161_medium	L-Threonine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00179_medium	Maltose	False	[]	['Clostridium_symbiosium']
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	True	['Methanobrevibacter_smithii']	['Clostridium_symbiosium']
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00305_medium	Thiamin	False	[]	['Clostridium_symbiosium']
cpd00322_medium	L-Isoleucine	True	['Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['Clostridium_symbiosium']
cpd00067_medium	H+	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00092_medium	Uracil	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00367_medium	Cytidine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Clostridium_symbiosium']
cpd00309_medium	XAN	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00311_medium	Guanosine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00035_medium	L-Alanine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00971_medium	Na+	False	[]	[]
cpd00060_medium	L-Methionine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00104_medium	BIOT	False	[]	[]
cpd00220_medium	Riboflavin	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Clostridium_symbiosium']
cpd00084_medium	L-Cysteine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']	['Methanobrevibacter_smithii', 'Clostridium_symbiosium']
